bio,date,device,followers,following,location,query_type,screen_name,tweet
b'',Mon Feb 17 21:31:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",168.0,192.0,"Merdead, CA ",Sanders,b'pimpnsince02',"b'""How hard is it to hit water? \xe2\x80\xa6 Fellas, we gotta do better""\n\nDeion Sanders needs answers \xf0\x9f\xa4\xa3 @brgridiron\n\nhttps://t.co/eTRKftKvc0'"
b'https://t.co/YCKLTFVMcj. code. makes movies. ranch. knit. namaste.\nhttps://t.co/19NG2slDMv\nInstagram: buffalogirlsdesign',Mon Feb 17 22:04:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",795.0,2262.0,Under the Western Sky,Biden,b'bgdesign',b'When will Joe Biden publicly disavow his toxic surrogates? https://t.co/JSBzj8mzqh'
"b""Love sports, reading and old movies from the 30's and 40's. MAGA!  May God bless 45.""",Sun Feb 16 18:37:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1126.0,1344.0,,Bloomberg,b'DitterBirdie',"b""MUST SEE: Gun Rights Activists Crash Bloomberg Rally in Virginia, Chant 'Guns Save Lives' https://t.co/zj0zCM5dW6 via @gatewaypundit"""
"b'Aspiring serial writer and Creative producer. Oh yeah, I design jewelry too :)'",Mon Feb 17 17:22:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2505.0,3636.0,Jamaica,Warren,b'TruLolita',"b'People told me no other campaigns had came to listen to them. They came to offer them money or to put up signs.\n\nI think Pastor Murray put it best: \n\n""Maybe Elizabeth Warren is a new breed of politician. I\'m raising her up she is one to do things differently."" 7/ https://t.co/IX2Av4pE0w'"
"b""I'm weird and I like it\nI love great memes\nCool guy on a wheelchair \xf0\x9f\x98\x8e\nYANG2020 \nHUMANITY FIRST\nSECURE THE BAG\nI have a crush on Inga Jeffery, no snitchin""",Mon Feb 17 22:18:42 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3163.0,2810.0,,Buttigieg,b'DHotwheelz',"b'@unsnappedjames @ZachG2020 When you look me in the eyes, tell me that you love me, everything is alright ill be right here by your side\n\nWhen you look me in the eyes, I catch a glimpse of heaven. i found my paradise. When you look me in the eyes\n\n- Pete Buttigieg'"
"b""New Account rebuilding again\nNurse Educator Researcher #KAG #borders #military #1st #2ndA #John'sArmy Rescue greyhounds Retired Gov contractor #TRUMP20/20""",Mon Feb 17 22:04:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1082.0,1120.0,,Klobuchar,b'Averyjo27848468',"b""Amy Klobuchar comes across very poorly in this interview. \nHaven't seen any media coverage of her cringe-worthy and embarrassing performance.\nThe problem with pandering to other countries is that it becomes an unwinnable race. And Dems love to run those.\nhttps://t.co/faTJZNdoaY"""
b'Prossperot \nLiving with Hermits\nSatellite Giant',Mon Feb 17 22:21:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",252.0,562.0,KFC,Sanders,b'ShillelaghMail',"b""@MancinelliTerri @nytdavidbrooks You think Sanders won't help downballot Senate races at all? Do you know any Democrats?"""
b'all about dogs and democrats',Mon Feb 17 22:21:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4.0,175.0,,Biden,b'ilovepaulmcc',"b'@Weinsteinlaw @cher Cher, Biden is smart, kind, genuine, honest, decent, caring, affectionate, wise, and experienced. He deserves to be our next president.'"
b'My blood type=my philosophy: B+. Just moved to my tiny house. #TheResistance I block accounts w/lotsa numbers in handle.',Mon Feb 17 13:52:51 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2213.0,2897.0,Central PA,Bloomberg,b'bonitalea',"b""If I were a Democrat running for the Presidency, I wouldn't even mention Mike's name. I'd leave him alone. He's spending millions going after Trump.\nThe candidates should all be going after Trump and making their pitches without attacking each other.\nhttps://t.co/L9OkNWqZhG"""
"b'Learning to speak as an adult in a Peanuts cartoon. Daydreamer, Non-conformist, Contrarian, liberal, progressive, #JillNotHill'",Mon Feb 17 22:21:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1474.0,1479.0,Wa state,Warren,b'Underdawg47',"b""@mark_matson @SilERabbit Warren is not a progressive. She voted for Trump's military budget twice and said she would take corporate money in the general election."""
"b'Former Counsel to CA Senate Public Safety Committee, former Advocate, ACLU of CA, former Public Defender. Rootless Cosmopolitan. Opinions are my own.'",Mon Feb 17 15:36:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",298.0,828.0,,Buttigieg,b'SMeinrath',b'Voters should know that @MikeBloomberg literally has the worst climate score out of everyone running.\n\nBernie: A+ (94/100)\nSteyer: A (88)\nWarren: A (87)\nButtigieg: B+ (72.5)\nBiden: B+ (72)\nGabbard: B (69.5)\nKlobuchar: C+ (52.5)\nBloomberg: C+ (50)\n\nhttps://t.co/vpfBWhKgOa'
b'everything can be your teacher if you are willing 2 learn. All 4 1 1 4 all 4 real \xe2\x98\xaf\xef\xb8\x8f\xf0\x9f\x8c\x8d\xe2\x99\x88\xef\xb8\x8f',Mon Feb 17 22:18:12 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",465.0,1022.0,seattle and places ,Sanders,b'suprhianne',b'I cannot find one picture of Bernie Sanders golfing with Donald Trump'
b'',Tue Oct 01 00:37:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",50.0,25.0,,Biden,b'81504barb',"b'As Joe Biden said, Attorney General Bill Barr is a \xe2\x80\x9check of an honorable guy\xe2\x80\x9d and someone who negotiates in good faith. https://t.co/ZWanLW3UD9'"
b'Gramps to 6 Awesome Grand Kids \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Bleed Red White& Blue #Trump2020 #1A #2A #ProLife #ProAmerica #AntiAntifa \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 I follow back!',Mon Feb 17 00:16:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1546.0,1386.0,"Los Angeles, CA/Rochester, NY",Bloomberg,b'rich5819',"b'Billionaire Bloomberg claims he ""could teach anybody to be a farmer,"" even implying that farmers don\'t have the same level of ""skillset"" or ""grey matter"" as folks in tech jobs.\n\nSo demeaning, elitist, and out-of-touch it\'s appalling. https://t.co/Auplmdq56m'"
b'Focused on removing the orange menace from the White House. #Resist #ResistanceUnited #StrongerTogether #FBR #AnyoneButTrump2020',Mon Feb 17 22:22:17 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",859.0,1183.0,,Warren,b'DerpStateActor',"b'@RuleofPshaw Warren was my original choice, the media did a good job of tearing her down. Maybe sit the primary out and just vote for the nominee?'"
b'Irish football. Indiana basketball. Rural healthcare advocate. #loveislove',Sun Feb 16 22:21:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",526.0,2194.0,"South Bend, IN",Buttigieg,b'IUMrStryck',"b'If you want to understand \xe2\x81\xa6@PeteButtigieg\xe2\x81\xa9, no matter how you\xe2\x80\x99re voting, you should read this extraordinary piece by my friend Jim Kloppenberg in \xe2\x81\xa6@commonwealmag\xe2\x81\xa9. Jim taught Pete as an undergrad and did some exceptional research &amp; reporting. https://t.co/JRcIROEonV'"
"b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 Cat mom. Bostonian. Politics/News Junkie. Lover of coffee, wine and whiskey.  \n\nBiden/Klobuchar 2020. \n\nRetweet does not equal endorsement.'",Mon Feb 17 19:35:52 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2243.0,4972.0,"Massachusetts, USA",Klobuchar,b'dens1984',"b'It\xe2\x80\x99s easier to picture Biden finishing second in Nevada, then first in SC, then doing well on Super Tuesday than, say, Amy Klobuchar jumping from her current less than 5% nationally to the nomination. \n\nhttps://t.co/se3bKEnvRb'"
"b'Husband|Dog father|Dynasty, Keeper, Redraft, Bestball|#SFB9|Packers|Hawkeyes|Penguins|A\xe2\x80\x99s|'",Mon Feb 17 22:26:24 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2984.0,1422.0,,Sanders,b'Kyle_FFRecon',"b'@DynoGameTheory I initially was all aboard Monty last summer. You (among others) brought me back down to a reasonable place; although still preferred Monty over Sanders at the time. After last season, it\xe2\x80\x99s easily Sanders now. Monty isn\xe2\x80\x99t a bad RB. But the lack of burst limits his fantasy ceiling'"
"b""\xf0\x9f\xa5\x80 Writer. Feminist. Bon F*cking Vivant. \nDon't blame me; I supported Kamala. #BLM \nFacts Matter \xe2\x9c\x8a\xf0\x9f\x8f\xbc\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbf No Lists""",Mon Feb 17 22:26:24 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",7191.0,6381.0,Our Dying Planet,Biden,b'northeast_mama',"b""@daralynn13 @MegSmythe1 Honestly, I think they don't because they're AFRAID to.\n\nThey know they're not likely to have their heads smashed to bits at a Biden rally."""
b'age 22..... pls support @Sheeyahshee - CA-12 (Pelosi\xe2\x80\x99s seat) @paulajean2020 - WV State Senate @ihssaneleckey - MA-04 @EdMarkey (MA) @_SemaHernandez_ - TX Sen',Mon Feb 17 22:26:25 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",459.0,347.0,,Bloomberg,b'Sailboatstudios',b'@Handsome_Jake_ Backlash against Pete is fine. Backlash against Bloomberg isn\xe2\x80\x99t harsh enough.'
b'Cat friend | She/Her | i have a degree | figuring out how to be a writer',Mon Feb 17 17:25:11 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",488.0,409.0,"Tempe, AZ",Warren,b'leahislucky',b'[screams into the void]:\n\nElizabeth Warren created an entire government agency dedicated to stopping corruption by the rich. She\xe2\x80\x99s the only one who wanted to prosecute the big banks after the subprime collapse and is the only one promising to prosecute Trump\xe2\x80\x99s criminal ass.'
b'e',Mon Feb 17 22:10:54 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",113.0,1121.0,"Palm Harbor, FL",Sanders,b'andrew_canevari',b'@BernieSanders BERNIE SANDERS\n\nNO SURRENDER'
b'',Mon Feb 17 18:39:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",596.0,91.0,,Biden,b'stellamolly511',"b'The \xe2\x80\x9cWhistleblower\xe2\x80\x9d who started the impeachment sham was biased against the President, worked with Joe Biden, and met with Adam Schiff\xe2\x80\x99s staff.\n\nOf course they should testify!\n\nhttps://t.co/NZajZ4kVOp'"
b'Managing Editor tweeting politics human interest charity #Trump2020Landslide #MAGA #KAG #RealNews DMs not monitored\xf0\x9f\x91\x87\nhttps://t.co/lglKUHWBnA',Mon Feb 17 21:32:22 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14052.0,13629.0,Events in 2020 & Beyond!,Bloomberg,b'KennRWeeks',"b'Bloomberg\'s labor plan\n\n$15 min wage\nPaid Family leave\nPaid Sick leave\nAbolish ""Right to work"" laws\nStrengthen unions\n\nAll of these will increase the cost of things you need and want.  If you can\'t see that, you\'re too stupid to vote\n\n@cspanwj'"
"b""Social justice and union activist - (all views are my own and retweets aren't endorsements just tweet redistribution)""",Mon Feb 17 20:33:29 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",310.0,299.0,National Capital,Warren,b'jenncarr',"b'Instead of the media focusing their efforts and stories on Mike Bloomberg, tell folks more about an actual progressive and real choice in this race for many - @ewarren. As a Bernie supporter, even I recognize the bias. https://t.co/p4Dyc9jBWV'"
b'My great grandfather was shot guarding a ballot box in Montana in 1898. He carried the bullet in his chest for 14 years. Protecting voting rights is in my DNA.',Mon Feb 17 19:25:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",160.0,754.0,USA,Buttigieg,b'SandeyeMontana',b'This is how democracies dies - ad spending to date:\n\nBloomberg $418 million\n...\nSanders $42\nButtigieg $40\nWarren $2\nBiden $12\nKlobuchar $11\n\nThis would open the door to any billionaire in the future buying the presidency. There is a word for that - oligarchy. \n1/'
b'Blessed more than I deserve\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbcloving my life \xe2\x9d\xa4\xef\xb8\x8f Thank God that Trump is our President. !! #MAGA Build the Wall . I \xe2\x9d\xa4\xef\xb8\x8fthe USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 No DM or Lists!',Sun Feb 16 15:59:48 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",5638.0,5964.0,NC,Klobuchar,b'jeanigum',"b""Klobuchar failing to identify the president of Mexico and then faking her way through an ass-covering non-answer is the type of thing that the liberal blogosphere would've spent a full week viciously mocking Sarah Palin for in 2010"""
b'THE MORE YOU RESEARCH THE CRAZIER YOU SOUND TO IGNORANT PEOPLE... QAnon WWG1WGA FB @GenFlynn and Epstein didn\xe2\x80\x99t kill himself',Mon Feb 17 22:44:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",32616.0,35655.0,United States,Sanders,b'TWITMO_INMATE',"b'Let me get this straight:\n\nDemocrats spent three years calling Donald Trump a \xe2\x80\x9cRussian asset\xe2\x80\x9d\n\nNow they want to nominate this guy, who spent his entire life heaping praise on the Soviet Union\xe2\x80\x94he even honeymooned there\n\nBernie Sanders is a Communist.\n\n https://t.co/ECAwci3apQ'"
b'Bama Alum #RollTide',Mon Feb 17 23:10:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",103.0,852.0,,Sanders,b'BriganceJim',"b'@RepSwalwell @realDonaldTrump Why do you keep trying to claim that is happening? I believe you all are scared he will win again, and you need to throw out any accusation to help the Dems. How about Sanders\xe2\x80\x99 past love affair with Communism??'"
"b'Wife/mom \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa7\xe2\x80\x8d\xf0\x9f\x91\xa6 Animal\xe2\x9d\xa4\xef\xb8\x8f#LGBTQally \xf0\x9f\x8c\x88, \xf0\x9f\x86\x98, jewelry artist, \xf0\x9f\x8c\x8e\xf0\x9f\x92\x9a foodie & aggressive typo queen\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbc #FIGHTLIKEAGIRL #SCIENCE #Democraticcoalition'",Mon Feb 17 17:17:03 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",116727.0,86315.0,"Cleveland, OH",Biden,b'mommamia1217',"b'For those who say Joe Biden is crazy to say he can work with Republicans to get things done, Biden worked to secure the three GOP senators required to break a filibuster and pass this bill. https://t.co/VXcrmCf5fg'"
"b'Canadian \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 independent thinker. Proud Albertan! I \xf0\x9f\x92\x9d Coronation Street, the beach, and camping. #MAGA #WalkAway'",Sat Feb 15 03:16:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",167.0,279.0,,Bloomberg,b'Natluvscamping',b'Bloomberg on why farmers can\xe2\x80\x99t work in information technology\n\nMB: \xe2\x80\x9cI can teach anyone how to be a farmer 1 dig a hole 2 put a seed in 3 put dirt on top 4 add water 5 up comes the corn\xe2\x80\x9d\n\nThe skill 4information technology is completely different you need more grey matter\n\n#farmers https://t.co/HM13tA6goz'
b'Desperately seeking sanity in the World',Mon Feb 17 17:05:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",52.0,444.0,,Buttigieg,b'StephenJohnEll1',"b'John Oliver\'s Medicare for all episode is brilliant and must a MUST WATCH!\n\nBreaks down the current American ""Healthcare system"", annihilates medicare for all critics, and calls Pete Buttigieg\'s plan a ""shit sandwich with guac"" \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3 https://t.co/tRlXl6zMhW'"
"b""A Purple-Haired Feminist Atheist Millennial w/ Diabetes, Asperger's & a Favorable Opinion of Nordic Socialism, whose Bernie Oven's Turned UP from 350\xc2\xb0 to BROIL""",Mon Feb 17 23:10:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",52.0,200.0,"Tampa, FL",Klobuchar,b'feminudist',"b'@politico @shaunking The others should drop out in order of least relevant experience: Steyer, Bloomberg, Buttigieg, Klobuchar, Warren, Biden.'"
"b'Author, Film Student'",Mon Feb 17 13:34:36 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",199.0,579.0,None of your damn business ,Sanders,b'nikki_huggins93',"b'I mean all I did was post on social media that Bernie Sanders is a deadbeat dad , rape enabler , racist, misogynist , Russian stooge , anti-choice and a gun humper in thrall to the NRA and people had the temerity to \xe2\x80\x9cattack\xe2\x80\x9d me . I\xe2\x80\x99m traumatized.'"
b'Italian American programmer #flyeaglesfly',Mon Feb 17 23:01:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",641.0,1606.0,,Biden,b'DominicDimatte1',"b'If correct, this would likely be the death of the Biden campaign. https://t.co/ThhVFaOtXD'"
b'Conservative. Patriot. American Exceptionalism. Molon labe',Mon Feb 17 17:43:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3238.0,4902.0,,Bloomberg,b'PeteyPete92',b'NEW: The editor of Bloomberg News faced tough questions from his DC reporting staff over his decision to avoid investigating Mike Bloomberg &amp; his Democratic rivals. https://t.co/wHBc8LwozK'
"b'I am a cis sapphic bi woman. Checking privileges: white, making a decent living (currently), raised by family that loved me (though not perfectly).'",Mon Feb 17 19:39:00 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",27.0,398.0,,Warren,b'MedusaOnTop',b'Got to pop into the JP @TeamWarren office this morning and hear @AyannaPressley share why she\xe2\x80\x99s supporting @ewarren:\n\n\xe2\x80\x9cElizabeth Warren is a policy nerd. And policy is my love language.\xe2\x80\x9d'
b'',Mon Feb 17 18:40:23 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",3.0,41.0,"Iowa, USA",Buttigieg,b'IA_Bestemor',"b'In Reno, Buttigieg says, ""as a country, we\'ve got to do a better job of honoring all of the generations of those who serve. You know, I found it challenging enough to come back &amp; I couldn\'t have had it better,"" before offering ""a belated thank you &amp; welcome home"" to Vietnam vets. https://t.co/mQOoZSPhgi'"
"b'British by birth, Scottish by the Grace Of God. Highlander by birth and ancestry.\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf'",Mon Feb 17 16:54:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3038.0,4594.0,"London, England",Klobuchar,b'David76583783',"b""For everyone making excuses for Trump &amp; Barr, saying Presidents have the right to decide who gets prosecuted, who doesn't &amp; what kind of sentence is too long for their buddy, I'll remember that under President Sanders, Warren, Klobuchar, Buttigieg, Biden or Bloomberg."""
"b'22 years old, she/her, just a perpetually tired queer girl trying to make it in this world'",Mon Feb 17 02:22:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",126.0,415.0,,Warren,b'eatweepandsleep',b'@alexisgoldstein @ewarren How the hell is Warren still going? She\xe2\x80\x99s campaigned like crazy all day long with a cold and no voice. https://t.co/nRiwBmHoAs'
b'Former TV doctor turned TV priest turned TV samurai #Resist Proud to be blocked by trollbot @MatthewJshow.\nI follow back. Creator of the Verified Trollbot list.',Mon Feb 17 23:24:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",144.0,132.0,,Sanders,b'RChaimberlain',b'@itskingjamie @Teesa_Michele @BernieSanders @fred_guttenberg BULLSHIT!\nhttps://t.co/RH2vxXx6t5'
b'Burner with one foot in the dust.',Thu Feb 13 17:38:17 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.0,34.0,,Biden,b'DannyWo12228018',"b'New national poll of the Democratic primary from @MorningConsult, fielded entirely after New Hampshire.\n\nSupport + change vs pre-NH\n\nSanders: 29% (+4)\nBiden: 19 (-3)\nBloomberg: 18 (+1)\nButtigieg: 11\nWarren: 10 (-1)\nKlobuchar: 5 (+2)\n\nhttps://t.co/00YEl7Zd2g'"
"b""Don't like Bernie-haters - don't follow me. There's #NoMiddleGround -only #BernieBeatsTrump!""",Mon Feb 17 22:15:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2753.0,2521.0,"Florida, USA",Bloomberg,b'Mouz2009',"b""Maybe Michael Bloomberg's theory of the case is that he's most electable against Trump because from now on only friends of Jeffrey Epstein can win the White House?"""
b'https://t.co/KXp5z6YCJm',Mon Feb 17 23:24:45 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0,100.0,"Long Beach, CA",Warren,b'lisa_oswalt',"b'@RBReich And that is why Elizabeth and Bernie have no chance to win.   The Bildenberg folks got surprised by Trumps win, Hillary was their pick, now they give us Bloomberg.  Wake up people it\xe2\x80\x99s a plutocracy that runs the world!  Vote for Warren!!!!'"
b'What is the most powerful force in the World? \xf0\x9f\x8c\x8e The TRUTH \nNobody can do ANYTHING about it \xf0\x9f\x92\xab\xe2\x9c\xa8\nTRUMP 2020 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 YES I OWN A GUN \xf0\x9f\x94\xab\xf0\x9f\x8c\x9f\xf0\x9f\x94\xa5\xe2\x9c\xa8\xf0\x9f\x92\x83',Mon Feb 17 22:05:06 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",995.0,1652.0,United States,Buttigieg,b'Velasqu10008013',"b'Pete Buttigieg: ""No one is suffering more under this presidency than black Americans.\n\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\nBack to reality ... lowest black unemployment in U.S history. \n\nThank you President Trump.'"
"b'Army Veteran, Army Wife & Army Mom'",Mon Feb 17 22:33:27 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1975.0,667.0,,Biden,b'cptcookswife',"b'Biden: ""Once again, legalize all the DACA students. These DACA students are more American than most Americans are."" https://t.co/FJ8lEH8Ud0'"
b'I read stuff and sometimes react.',Mon Feb 17 23:08:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",104.0,151.0,Chicago,Bloomberg,b'jclinkman',"b'@davidsirota @MikeBloomberg This is obscene and pathetic. He is deflecting hard. This is the man who pushed Stop and Frisk, said that too many whites were being arrested and not enough minorities. The great intellectual Prof. @CornelWest  was arrested protesting Bloomberg\xe2\x80\x99s racist policy. Must I go on....'"
b'Crusader for the Oxford comma',Mon Feb 17 14:18:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",35.0,480.0,,Warren,b'missmaizeymoo',b'I\xe2\x80\x99m not sure anyone appreciates the deep well of anger and pain among Warren supporters\xe2\x80\x94many of whom are the women whose activism drove 2018\xe2\x80\x94listening to experts write off Elizabeth Warren\xe2\x80\x99s campaign.'
b'',Mon Feb 17 19:15:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",96.0,454.0,,Buttigieg,b'Bali1228',b'Why is Dave Weigal on @MSNBC after he tweeted out a gay torture porn photo in response to Pete Buttigieg winning Iowa?'
"b'Democratic strategist,  nonprofit consultant, professor, author, Mets fan, guitar player, gardener.'",Mon Feb 17 23:27:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",40954.0,2464.0,New York,Klobuchar,b'tomwatson',b'Ranking of combined 1st+2nd+3rd choice in Data Progress poll:\n\nWarren -    60%\nBernie-       58%\nKlobuchar- 48%\nPete -         46%\nBiden-        40%\nSteyer-       40%\n\nhttps://t.co/Ek4oQmtSeg'
b'',Mon Feb 17 02:01:14 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",65.0,142.0,"Dunmore, PA",Warren,b'sam_domzalski',b'can we all just agree that elizabeth warren'
"b'An attorney, urban planner, and writer. This account is my own. But, I didn\xe2\x80\x99t need to tell you that. https://t.co/rGycpGhbXS'",Mon Feb 17 23:28:12 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1001.0,699.0,"Austin, Texas",Buttigieg,b'jeboyt',"b'President:  Elizabeth Warren.  She combines a vision for a more fair, equitable, and prosperous country with a record of delivering results.\nHonorable mention:  Amy Klobucher, Pete Buttigieg\n/2'"
b'',Mon Feb 17 23:09:38 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",246.0,38.0,,Klobuchar,b'DuncanMitchel1',"b""There was the time abortion-rights activists went to visit Amy Klobuchar and she evaded every question and just kept talking about how important it was to pass the Grand Bargain and cut Social Security now so we wouldn't have to cut it later."""
"b""Wife, mother, grandmother, cancer survivor enjoying retirement.\nIndependent thinker & if you can't handle the truth, don't ask me!""",Mon Feb 17 22:35:28 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",784.0,358.0,"Tennessee, USA",Biden,b'UnfilteredRG',"b'President Trump reversed every single failed Obama/Biden era economic policy, and with it, reversed the floundering Obama/Biden economy.\n\nTHAT is why we are currently WINNING! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\nOh, we also found that Magic Wand you were talking about! https://t.co/R1iPMAlKvm'"
b'USAF vet; NSS caver; Chair Geo. Section Oklahoma Academy of Science; SAA 2020 discussant; Active member of Bernie Sanders\xe2\x80\x99 internet army. VAMO.',Mon Feb 17 22:02:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1201.0,3363.0,"Oklahoma City, OK",Bloomberg,b'Tommy2thePoint',b'Sanders responds to Bloomberg \xf0\x9f\x91\x87 https://t.co/2nCG3dI0P3'
